timestamp,machine_id,temperature_c,vibration_mm_s,power_kw,status
2026-04-20T08:00:00Z,M-01,72.4,3.1,14.2,ok
2026-04-20T08:05:00Z,M-01,73.2,3.4,14.8,ok
2026-04-20T08:10:00Z,M-01,75.0,4.2,15.5,warning
2026-04-20T08:00:00Z,M-02,68.1,2.7,12.9,ok
2026-04-20T08:05:00Z,M-02,69.0,2.9,13.1,ok
2026-04-20T08:10:00Z,M-02,71.6,3.8,14.0,warning
2026-04-20T08:00:00Z,M-03,65.5,2.2,11.8,ok
2026-04-20T08:05:00Z,M-03,66.2,2.5,12.1,ok
2026-04-20T08:10:00Z,M-03,66.8,2.4,12.0,ok
2026-04-20T08:15:00Z,M-01,78.4,4.8,16.2,critical
